brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url
Abarth,600e Scorpionissima,200,50.8,Lithium-ion,345.0,158,280,5.9,79.0,CCS,0.0,360,5,FWD,JB - Compact,4187,1779,1557,SUV,https://ev-database.org/car/3057/Abarth-600e-Scorpionissima
Abarth,600e Turismo,200,50.8,Lithium-ion,345.0,158,280,6.2,79.0,CCS,0.0,360,5,FWD,JB - Compact,4187,1779,1557,SUV,https://ev-database.org/car/3056/Abarth-600e-Turismo
Alfa,Romeo Junior Elettrica 54 kWh,150,50.8,Lithium-ion,260.0,128,320,9.0,85.0,CCS,0.0,400,5,FWD,JB - Compact,4173,1781,1532,SUV,https://ev-database.org/car/2184/Alfa-Romeo-Junior-Elettrica-54-kWh
Alfa,Romeo Junior Elettrica 54 kWh Veloce,200,50.8,Lithium-ion,345.0,164,310,6.0,85.0,CCS,0.0,400,5,FWD,JB - Compact,4173,1781,1505,SUV,https://ev-database.org/car/2185/Alfa-Romeo-Junior-Elettrica-54-kWh-Veloce
Alpine,A290 Electric 180 hp,160,52.0,Lithium-ion,285.0,138,310,7.4,70.0,CCS,500.0,326,5,FWD,B - Compact,3997,1823,1512,Hatchback,https://ev-database.org/car/2268/Alpine-A290-Electric-180-hp
Alpine,A290 Electric 220 hp,170,52.0,Lithium-ion,300.0,144,305,6.4,70.0,CCS,500.0,326,5,FWD,B - Compact,3997,1823,1512,Hatchback,https://ev-database.org/car/2269/Alpine-A290-Electric-220-hp
Audi,A6 Avant e-tron,210,75.8,Lithium-ion,435.0,146,465,6.0,150.0,CCS,2100.0,502,5,RWD,JE - Executive,4928,1923,1455,Station/Estate,https://ev-database.org/car/3055/Audi-A6-Avant-e-tron
Audi,A6 Avant e-tron performance,210,94.9,Lithium-ion,565.0,151,575,5.4,200.0,CCS,2100.0,502,5,RWD,JE - Executive,4928,1923,1455,Station/Estate,https://ev-database.org/car/2272/Audi-A6-Avant-e-tron-performance
Audi,A6 Avant e-tron quattro,210,94.9,Lithium-ion,855.0,157,560,4.5,200.0,CCS,2100.0,502,5,AWD,JE - Executive,4928,1923,1455,Station/Estate,https://ev-database.org/car/3054/Audi-A6-Avant-e-tron-quattro
Audi,A6 Sportback e-tron,210,75.8,Lithium-ion,435.0,136,495,6.0,150.0,CCS,2100.0,502,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan,https://ev-database.org/car/3053/Audi-A6-Sportback-e-tron
Audi,A6 Sportback e-tron performance,210,94.9,Lithium-ion,565.0,141,610,5.4,200.0,CCS,2100.0,502,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan,https://ev-database.org/car/2270/Audi-A6-Sportback-e-tron-performance
Audi,A6 Sportback e-tron quattro,210,94.9,Lithium-ion,855.0,147,590,4.7,200.0,CCS,2100.0,502,5,AWD,JE - Executive,4928,1923,1455,Liftback Sedan,https://ev-database.org/car/3052/Audi-A6-Sportback-e-tron-quattro
Audi,Q4 Sportback e-tron 40,160,59.0,Lithium-ion,310.0,156,340,8.1,110.0,CCS,1000.0,520,5,RWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/3149/Audi-Q4-Sportback-e-tron-40
Audi,Q4 Sportback e-tron 45,180,77.0,Lithium-ion,545.0,162,435,6.7,120.0,CCS,1000.0,535,5,RWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/2016/Audi-Q4-Sportback-e-tron-45
Audi,Q4 Sportback e-tron 45 quattro,180,77.0,Lithium-ion,679.0,165,410,6.6,120.0,CCS,1200.0,535,5,AWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/2017/Audi-Q4-Sportback-e-tron-45-quattro
Audi,Q4 Sportback e-tron 55 quattro,180,77.0,Lithium-ion,679.0,165,415,5.4,120.0,CCS,1200.0,535,5,AWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/2018/Audi-Q4-Sportback-e-tron-55-quattro
Audi,Q4 e-tron 40,160,59.0,Lithium-ion,310.0,159,325,8.1,110.0,CCS,1000.0,520,5,RWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/3148/Audi-Q4-e-tron-40
Audi,Q4 e-tron 45,180,77.0,Lithium-ion,545.0,169,420,6.7,120.0,CCS,1000.0,520,5,RWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/2013/Audi-Q4-e-tron-45
Audi,Q4 e-tron 45 quattro,180,77.0,Lithium-ion,679.0,171,395,6.6,120.0,CCS,1200.0,520,5,AWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/2014/Audi-Q4-e-tron-45-quattro
Audi,Q4 e-tron 55 quattro,180,77.0,Lithium-ion,679.0,171,395,5.4,120.0,CCS,1200.0,520,5,AWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/2015/Audi-Q4-e-tron-55-quattro
Audi,Q6 e-tron,210,75.8,Lithium-ion,450.0,166,395,7.0,150.0,CCS,2000.0,526,5,RWD,JD - Large,4771,1939,1685,SUV,https://ev-database.org/car/2281/Audi-Q6-e-tron
Audi,Q6 e-tron Sportback,210,75.8,Lithium-ion,450.0,139,410,7.0,150.0,CCS,2000.0,511,5,RWD,JD - Large,4771,1939,1665,SUV,https://ev-database.org/car/3041/Audi-Q6-e-tron-Sportback
Audi,Q6 e-tron Sportback performance,210,94.9,Lithium-ion,485.0,145,510,6.6,190.0,CCS,2000.0,511,5,RWD,JD - Large,4771,1939,1665,SUV,https://ev-database.org/car/3042/Audi-Q6-e-tron-Sportback-performance
Audi,Q6 e-tron Sportback quattro,210,94.9,Lithium-ion,855.0,149,500,5.9,200.0,CCS,2400.0,511,5,AWD,JD - Large,4771,1939,1665,SUV,https://ev-database.org/car/3043/Audi-Q6-e-tron-Sportback-quattro
Audi,Q6 e-tron performance,210,94.9,Lithium-ion,485.0,171,490,6.6,190.0,CCS,2000.0,526,5,RWD,JD - Large,4771,1939,1685,SUV,https://ev-database.org/car/2215/Audi-Q6-e-tron-performance
Audi,Q6 e-tron quattro,210,94.9,Lithium-ion,855.0,176,480,5.9,200.0,CCS,2400.0,10 Banana Boxes,5,AWD,JD - Large,4771,1939,1685,SUV,https://ev-database.org/car/2146/Audi-Q6-e-tron-quattro
Audi,S6 Avant e-tron,240,94.9,Lithium-ion,855.0,156,530,3.9,200.0,CCS,2100.0,502,5,AWD,JE - Executive,4928,1923,1493,Station/Estate,https://ev-database.org/car/2273/Audi-S6-Avant-e-tron
Audi,S6 Sportback e-tron,240,94.9,Lithium-ion,855.0,149,555,3.9,200.0,CCS,2100.0,502,5,AWD,JE - Executive,4928,1923,1465,Liftback Sedan,https://ev-database.org/car/2271/Audi-S6-Sportback-e-tron
Audi,SQ6 e-tron,230,94.9,Lithium-ion,855.0,169,470,4.3,200.0,CCS,2400.0,514,5,AWD,JD - Large,4771,1965,1685,SUV,https://ev-database.org/car/2147/Audi-SQ6-e-tron
Audi,SQ6 e-tron Sportback,230,94.9,Lithium-ion,855.0,164,495,4.3,200.0,CCS,2400.0,511,5,AWD,JD - Large,4771,1965,1665,SUV,https://ev-database.org/car/3044/Audi-SQ6-e-tron-Sportback
BMW,i4 M50,225,81.3,Lithium-ion,795.0,197,450,3.9,131.0,CCS,1600.0,470,5,AWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2201/BMW-i4-M50
BMW,i4 eDrive35,190,67.1,Lithium-ion,400.0,174,430,6.0,95.0,CCS,1600.0,470,5,RWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2198/BMW-i4-eDrive35
BMW,i4 eDrive40,190,81.3,Lithium-ion,430.0,174,515,5.6,131.0,CCS,1600.0,470,5,RWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2199/BMW-i4-eDrive40
BMW,i4 xDrive40,200,81.3,Lithium-ion,600.0,183,490,5.1,131.0,CCS,1600.0,470,5,AWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2200/BMW-i4-xDrive40
BMW,i5 M60 xDrive Sedan (MY25),230,81.2,Lithium-ion,795.0,172,430,3.8,136.0,CCS,2000.0,490,5,AWD,E - Executive,5060,1900,1505,Sedan,https://ev-database.org/car/3114/BMW-i5-M60-xDrive-Sedan
BMW,i5 M60 xDrive Touring (MY25),230,81.2,Lithium-ion,795.0,179,425,3.9,136.0,CCS,2000.0,570,5,AWD,E - Executive,5060,1900,1505,Station/Estate,https://ev-database.org/car/3117/BMW-i5-M60-xDrive-Touring
BMW,i5 eDrive40 Sedan (MY25),193,81.2,Lithium-ion,400.0,159,480,6.0,136.0,CCS,1500.0,490,5,RWD,E - Executive,5060,1900,1515,Sedan,https://ev-database.org/car/3112/BMW-i5-eDrive40-Sedan
BMW,i5 eDrive40 Touring (MY25),193,81.2,Lithium-ion,400.0,165,465,6.1,136.0,CCS,1500.0,570,5,RWD,E - Executive,5060,1900,1515,Station/Estate,https://ev-database.org/car/3115/BMW-i5-eDrive40-Touring
BMW,i5 xDrive40 Sedan (MY25),215,81.2,Lithium-ion,590.0,167,465,5.4,136.0,CCS,2000.0,490,5,AWD,E - Executive,5060,1900,1515,Sedan,https://ev-database.org/car/3113/BMW-i5-xDrive40-Sedan
BMW,i5 xDrive40 Touring (MY25),215,81.2,Lithium-ion,590.0,174,450,5.5,136.0,CCS,2000.0,570,5,AWD,E - Executive,5060,1900,1515,Station/Estate,https://ev-database.org/car/3116/BMW-i5-xDrive40-Touring
BMW,i7 M70 xDrive,250,101.7,Lithium-ion,1100.0,208,490,3.7,159.0,CCS,0.0,500,5,AWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1838/BMW-i7-M70-xDrive
BMW,i7 eDrive50,205,101.7,Lithium-ion,650.0,177,520,5.5,159.0,CCS,0.0,500,5,RWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1905/BMW-i7-eDrive50
BMW,i7 xDrive60,240,101.7,Lithium-ion,745.0,172,510,4.7,159.0,CCS,2000.0,500,5,AWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1676/BMW-i7-xDrive60
BMW,iX M70 xDrive,250,108.9,Lithium-ion,1015.0,209,500,3.8,150.0,CCS,2500.0,500,5,AWD,JE - Executive,4965,1970,1695,SUV,https://ev-database.org/car/3111/BMW-iX-M70-xDrive
BMW,iX xDrive45,200,94.8,Lithium-ion,700.0,193,470,5.1,115.0,CCS,2500.0,500,5,AWD,JE - Executive,4965,1970,1695,SUV,https://ev-database.org/car/3109/BMW-iX-xDrive45
BMW,iX xDrive60,200,109.1,Lithium-ion,765.0,194,525,4.6,150.0,CCS,2500.0,500,5,AWD,JE - Executive,4965,1970,1695,SUV,https://ev-database.org/car/3110/BMW-iX-xDrive60
BMW,iX1 eDrive20,170,64.7,Lithium-ion,247.0,150,390,8.3,94.0,CCS,750.0,490,5,FWD,JC - Medium,4500,1845,1616,SUV,https://ev-database.org/car/1996/BMW-iX1-eDrive20
BMW,iX1 xDrive30,180,64.7,Lithium-ion,494.0,155,380,5.6,94.0,CCS,1200.0,490,5,AWD,JC - Medium,4500,1845,1616,SUV,https://ev-database.org/car/1701/BMW-iX1-xDrive30
BMW,iX2 eDrive20,170,64.7,Lithium-ion,247.0,147,395,8.6,94.0,CCS,750.0,525,5,FWD,JC - Medium,4554,1845,1560,SUV,https://ev-database.org/car/2097/BMW-iX2-eDrive20
BMW,iX2 xDrive30,180,64.7,Lithium-ion,494.0,155,385,5.6,94.0,CCS,1200.0,525,5,AWD,JC - Medium,4554,1845,1560,SUV,https://ev-database.org/car/2040/BMW-iX2-xDrive30
BYD,ATTO 2,160,45.1,Lithium-ion,290.0,145,245,7.9,51.0,CCS,750.0,400,5,FWD,JB - Compact,4310,1830,1675,SUV,https://ev-database.org/car/3125/BYD-ATTO-2
BYD,ATTO 3 (MY25),160,60.5,Lithium-ion,310.0,144,340,7.3,75.0,CCS,750.0,440,5,FWD,JC - Medium,4455,1875,1615,SUV,https://ev-database.org/car/3192/BYD-ATTO-3
BYD,DOLPHIN 44.9 kWh Active,150,44.9,Lithium-ion,180.0,132,265,12.3,50.0,CCS,0.0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,https://ev-database.org/car/1917/BYD-DOLPHIN-449-kWh-Active
BYD,DOLPHIN 60.4 kWh,160,60.5,Lithium-ion,310.0,142,350,7.0,65.0,CCS,0.0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh
BYD,SEAL 61.4 kWh RWD Comfort,220,61.4,Lithium-ion,380.0,133,365,7.5,75.0,CCS,750.0,400,5,RWD,D - Large,4800,1875,1460,Sedan,https://ev-database.org/car/3102/BYD-SEAL-614-kWh-RWD-Comfort
BYD,SEAL 82.5 kWh AWD Excellence,180,82.5,Lithium-ion,670.0,159,445,3.8,100.0,CCS,1500.0,400,5,AWD,D - Large,4800,1875,1460,Sedan,https://ev-database.org/car/2002/BYD-SEAL-825-kWh-AWD-Excellence
BYD,SEAL 82.5 kWh RWD Design,180,82.5,Lithium-ion,360.0,145,480,5.9,100.0,CCS,750.0,400,5,RWD,D - Large,4800,1875,1460,Sedan,https://ev-database.org/car/2001/BYD-SEAL-825-kWh-RWD-Design
BYD,SEAL U 71.8 kWh Comfort,175,71.8,Lithium-ion,310.0,171,360,9.3,72.0,CCS,1300.0,552,5,FWD,JD - Large,4785,1890,1668,SUV,https://ev-database.org/car/2094/BYD-SEAL-U-718-kWh-Comfort
BYD,SEAL U 87 kWh Design,175,87.0,Lithium-ion,330.0,174,425,9.6,85.0,CCS,1300.0,552,5,FWD,JD - Large,4785,1890,1668,SUV,https://ev-database.org/car/2067/BYD-SEAL-U-87-kWh-Design
BYD,SEALION 7 82.5 kWh AWD Design,215,82.5,Lithium-ion,690.0,181,400,4.5,115.0,CCS,1500.0,520,5,AWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3071/BYD-SEALION-7-825-kWh-AWD-Design
BYD,SEALION 7 82.5 kWh RWD Comfort,215,82.5,Lithium-ion,380.0,171,415,6.7,115.0,CCS,750.0,520,5,RWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3070/BYD-SEALION-7-825-kWh-RWD-Comfort
BYD,SEALION 7 91.3 kWh AWD Excellence,215,91.3,Lithium-ion,690.0,182,430,4.5,165.0,CCS,1500.0,520,5,AWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3072/BYD-SEALION-7-913-kWh-AWD-Excellence
CUPRA,Born 170 kW - 59 kWh,160,59.0,Lithium-ion,310.0,156,360,6.7,110.0,CCS,0.0,385,5,RWD,C - Medium,4322,1809,1540,Hatchback,https://ev-database.org/car/2233/CUPRA-Born-170-kW---59-kWh
CUPRA,Born 170 kW - 77 kWh,160,77.0,Lithium-ion,310.0,157,460,7.0,125.0,CCS,0.0,385,5,RWD,C - Medium,4322,1809,1540,Hatchback,https://ev-database.org/car/2234/CUPRA-Born-170-kW---77-kWh
CUPRA,Born VZ,200,79.0,Lithium-ion,545.0,149,465,5.6,135.0,CCS,0.0,385,5,RWD,C - Medium,4322,1809,1538,Hatchback,https://ev-database.org/car/2128/CUPRA-Born-VZ
CUPRA,Tavascan Endurance,180,77.0,Lithium-ion,545.0,142,445,6.8,120.0,CCS,1000.0,540,5,RWD,JC - Medium,4644,1861,1597,SUV,https://ev-database.org/car/1971/CUPRA-Tavascan-Endurance
CUPRA,Tavascan VZ,180,77.0,Lithium-ion,545.0,150,425,5.5,120.0,CCS,1200.0,540,5,AWD,JC - Medium,4644,1861,1597,SUV,https://ev-database.org/car/1972/CUPRA-Tavascan-VZ
Cadillac,Lyriq 600 E4,210,102.0,Lithium-ion,610.0,192,460,5.3,165.0,CCS,1587.0,793,5,AWD,JF - Luxury,5005,1977,1623,SUV,https://ev-database.org/car/2243/Cadillac-Lyriq-600-E4
Citroen,e-Berlingo M 50 kWh,132,50.0,Lithium-ion,260.0,149,235,11.7,80.0,CCS,750.0,775,5,FWD,N - Passenger Van,4403,1921,1803,Small Passenger Van,https://ev-database.org/car/2159/Citroen-e-Berlingo-M-50-kWh
Citroen,e-C3,135,44.0,Lithium-ion,120.0,135,255,11.5,60.0,CCS,550.0,310,5,FWD,B - Compact,4015,1755,1577,Hatchback,https://ev-database.org/car/2039/Citroen-e-C3
Citroen,e-C3 Aircross,145,44.0,Lithium-ion,125.0,144,240,12.9,60.0,CCS,350.0,460,5,FWD,JB - Compact,4395,1795,1660,SUV,https://ev-database.org/car/2224/Citroen-e-C3-Aircross
Citroen,e-C4,150,46.3,Lithium-ion,260.0,135,285,9.9,78.0,CCS,0.0,380,5,FWD,C - Medium,4360,1834,1525,Hatchback,https://ev-database.org/car/3047/Citroen-e-C4
Citroen,e-C4 54 kWh,150,50.8,Lithium-ion,260.0,122,325,9.1,78.0,CCS,0.0,380,5,FWD,C - Medium,4360,1834,1525,Hatchback,https://ev-database.org/car/3048/Citroen-e-C4-54-kWh
Citroen,e-C4 X,150,46.3,Lithium-ion,260.0,132,290,9.9,78.0,CCS,0.0,510,5,FWD,C - Medium,4600,1834,1525,Sedan,https://ev-database.org/car/3049/Citroen-e-C4-X
Citroen,e-C4 X 54 kWh,150,50.8,Lithium-ion,260.0,119,335,9.1,78.0,CCS,0.0,510,5,FWD,C - Medium,4600,1834,1525,Sedan,https://ev-database.org/car/3050/Citroen-e-C4-X-54-kWh
DS,3 E-Tense,150,50.8,Lithium-ion,260.0,128,300,9.0,85.0,CCS,0.0,350,5,FWD,JB - Compact,4118,1802,1534,SUV,https://ev-database.org/car/1791/DS-3-E-Tense
DS,N째4 E-Tense,160,58.3,Lithium-ion,345.0,130,375,7.1,70.0,CCS,0.0,390,5,FWD,JC - Medium,4400,1866,1470,Hatchback,https://ev-database.org/car/3200/DS-N4-E-Tense
DS,N째8 AWD Long Range,190,97.2,Lithium-ion,511.0,146,530,5.4,130.0,CCS,1400.0,620,5,AWD,JD - Large,4834,1920,1574,SUV,https://ev-database.org/car/3078/DS-N8-AWD-Long-Range
DS,N째8 FWD,190,73.7,Lithium-ion,345.0,141,415,7.7,100.0,CCS,1260.0,620,5,FWD,JD - Large,4834,1920,1574,SUV,https://ev-database.org/car/3076/DS-N8-FWD
DS,N째8 FWD Long Range,190,97.2,Lithium-ion,345.0,136,545,7.8,130.0,CCS,1200.0,620,5,FWD,JD - Large,4834,1920,1574,SUV,https://ev-database.org/car/3077/DS-N8-FWD-Long-Range
Fiat,600e,150,50.8,Lithium-ion,260.0,124,310,9.0,79.0,CCS,0.0,360,5,FWD,JB - Compact,4171,1781,1523,SUV,https://ev-database.org/car/1945/Fiat-600e
Fiat,Grande Panda,132,43.8,Lithium-ion,122.0,136,260,11.0,60.0,CCS,550.0,361,5,FWD,B - Compact,3999,1763,1570,Hatchback,https://ev-database.org/car/2251/Fiat-Grande-Panda
Ford,Capri Extended Range AWD,180,79.0,Lithium-ion,679.0,148,455,5.3,135.0,CCS,1200.0,572,5,AWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2242/Ford-Capri-Extended-Range-AWD
Ford,Capri Extended Range RWD,180,77.0,Lithium-ion,545.0,135,455,6.4,120.0,CCS,1000.0,572,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2241/Ford-Capri-Extended-Range-RWD
Ford,Capri Standard Range RWD,160,52.0,Lithium-ion,310.0,163,320,9.0,85.0,CCS,1000.0,572,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2240/Ford-Capri-Standard-Range-RWD
Ford,Explorer Extended Range AWD,180,79.0,Lithium-ion,679.0,153,440,5.3,135.0,CCS,1200.0,536,5,AWD,JC - Medium,4468,1871,1639,SUV,https://ev-database.org/car/2169/Ford-Explorer-Extended-Range-AWD
Ford,Explorer Extended Range RWD,180,77.0,Lithium-ion,545.0,139,435,6.4,120.0,CCS,1000.0,536,5,RWD,JC - Medium,4468,1871,1630,SUV,https://ev-database.org/car/2168/Ford-Explorer-Extended-Range-RWD
Ford,Explorer Standard Range RWD,160,52.0,Lithium-ion,310.0,137,305,8.7,85.0,CCS,1000.0,536,5,RWD,JC - Medium,4468,1871,1630,SUV,https://ev-database.org/car/2167/Ford-Explorer-Standard-Range-RWD
Ford,Mustang Mach-E ER AWD (MY25),180,88.0,Lithium-ion,675.0,160,435,4.8,105.0,CCS,1500.0,519,5,AWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3189/Ford-Mustang-Mach-E-ER-AWD
Ford,Mustang Mach-E ER AWD (MY24),180,91.0,Lithium-ion,675.0,165,445,4.6,115.0,CCS,1500.0,519,5,AWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2279/Ford-Mustang-Mach-E-ER-AWD
Ford,Mustang Mach-E ER RWD (MY25),180,88.0,Lithium-ion,525.0,147,475,6.1,105.0,CCS,1500.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3188/Ford-Mustang-Mach-E-ER-RWD
Ford,Mustang Mach-E ER RWD (MY24),180,91.0,Lithium-ion,525.0,152,480,5.9,115.0,CCS,1500.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2278/Ford-Mustang-Mach-E-ER-RWD
Ford,Mustang Mach-E GT (MY24),200,91.0,Lithium-ion,950.0,177,425,3.8,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1613,SUV,https://ev-database.org/car/2280/Ford-Mustang-Mach-E-GT
Ford,Mustang Mach-E GT (MY25),200,91.0,Lithium-ion,950.0,177,435,3.8,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1613,SUV,https://ev-database.org/car/3190/Ford-Mustang-Mach-E-GT
Ford,Mustang Mach-E Rally (MY25),200,91.0,Lithium-ion,950.0,178,415,3.9,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1633,SUV,https://ev-database.org/car/3191/Ford-Mustang-Mach-E-Rally
Ford,Mustang Mach-E Rally (MY24),200,91.0,Lithium-ion,950.0,178,410,3.9,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1633,SUV,https://ev-database.org/car/2275/Ford-Mustang-Mach-E-Rally
Ford,Mustang Mach-E SR RWD (MY24),180,72.6,Lithium-ion,525.0,154,385,6.2,100.0,CCS,750.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2277/Ford-Mustang-Mach-E-SR-RWD
Ford,Mustang Mach-E SR RWD (MY25),180,72.6,Lithium-ion,525.0,154,380,6.2,100.0,CCS,750.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3187/Ford-Mustang-Mach-E-SR-RWD
Ford,Puma Gen-E,160,43.6,Lithium-ion,290.0,126,275,8.0,85.0,CCS,750.0,523,5,FWD,JB - Compact,4214,1805,1555,SUV,https://ev-database.org/car/3073/Ford-Puma-Gen-E
GWM,ORA 03 48 kWh,160,45.4,Lithium-ion,250.0,146,260,8.3,45.0,CCS,0.0,228,5,FWD,C - Medium,4235,1825,1603,Hatchback,https://ev-database.org/car/2091/GWM-ORA-03-48-kWh
GWM,ORA 03 63 kWh,160,59.3,Lithium-ion,250.0,141,340,8.2,56.0,CCS,0.0,228,5,FWD,C - Medium,4235,1825,1603,Hatchback,https://ev-database.org/car/2092/GWM-ORA-03-63-kWh
GWM,ORA 03 GT,160,59.3,Lithium-ion,250.0,148,325,8.2,56.0,CCS,0.0,228,5,FWD,C - Medium,4254,1848,1603,Hatchback,https://ev-database.org/car/2093/GWM-ORA-03-GT
GWM,ORA 07 GT,180,83.5,Lithium-ion,680.0,161,430,4.5,80.0,CCS,0.0,333,5,AWD,D - Large,4871,1862,1500,Sedan,https://ev-database.org/car/2247/GWM-ORA-07-GT
GWM,ORA 07 Pro,170,64.3,Lithium-ion,340.0,146,350,8.2,75.0,CCS,0.0,333,5,FWD,D - Large,4871,1862,1500,Sedan,https://ev-database.org/car/2246/GWM-ORA-07-Pro
GWM,ORA 07 Pure,170,64.3,Lithium-ion,340.0,146,350,8.2,75.0,CCS,0.0,333,5,FWD,D - Large,4871,1862,1500,Sedan,https://ev-database.org/car/2245/GWM-ORA-07-Pure
Genesis,GV60 Premium,185,74.0,Lithium-ion,350.0,143,390,7.8,200.0,CCS,1600.0,432,5,RWD,JC - Medium,4515,1890,1580,SUV,https://ev-database.org/car/1647/Genesis-GV60-Premium
Genesis,GV60 Sport,200,74.0,Lithium-ion,605.0,157,375,5.5,200.0,CCS,1600.0,432,5,AWD,JC - Medium,4515,1890,1580,SUV,https://ev-database.org/car/1648/Genesis-GV60-Sport
Genesis,GV60 Sport Plus,235,74.0,Lithium-ion,700.0,159,360,4.0,200.0,CCS,1600.0,432,5,AWD,JC - Medium,4515,1890,1580,SUV,https://ev-database.org/car/1649/Genesis-GV60-Sport-Plus
